               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.029513,            0.017891,                   0,              0.9915,                   1,               0.995,             0.71545,            0.024084,            0.004242,                   0,           0.0023846,           0.0023846,           0.0023846
                  52,            0.032597,            0.017885,                   0,             0.99042,                   1,               0.995,             0.61024,            0.029663,           0.0041396,                   0,           0.0022323,           0.0022323,           0.0022323
                  53,            0.031893,            0.015615,                   0,             0.99125,                   1,               0.995,             0.79109,            0.021821,           0.0039757,                   0,             0.00208,             0.00208,             0.00208
                  54,            0.028184,            0.015776,                   0,             0.99186,                   1,               0.995,             0.78386,             0.02223,           0.0039047,                   0,           0.0019277,           0.0019277,           0.0019277
                  55,            0.027114,            0.016524,                   0,             0.99239,                   1,               0.995,             0.82689,            0.020656,           0.0037076,                   0,           0.0017754,           0.0017754,           0.0017754
                  56,            0.029833,            0.017309,                   0,             0.99266,                   1,               0.995,             0.83887,            0.020012,           0.0036845,                   0,           0.0016231,           0.0016231,           0.0016231
                  57,            0.029472,            0.014872,                   0,              0.9918,                   1,               0.995,              0.8091,             0.01974,           0.0036615,                   0,           0.0014708,           0.0014708,           0.0014708
                  58,            0.024601,            0.014148,                   0,             0.99198,                   1,               0.995,             0.82748,            0.018847,           0.0035915,                   0,           0.0013185,           0.0013185,           0.0013185
                  59,            0.026342,            0.014812,                   0,             0.99263,                   1,               0.995,             0.80169,            0.018512,           0.0037283,                   0,           0.0011662,           0.0011662,           0.0011662
                  60,            0.026742,            0.013994,                   0,             0.99168,                   1,               0.995,             0.81058,            0.018041,           0.0037259,                   0,           0.0010138,           0.0010138,           0.0010138
                  61,             0.02397,            0.014308,                   0,             0.99184,                   1,               0.995,             0.82431,            0.017217,           0.0037373,                   0,          0.00086154,          0.00086154,          0.00086154
                  62,            0.028678,            0.016408,                   0,             0.99252,                   1,               0.995,             0.82185,            0.017365,           0.0037465,                   0,          0.00070923,          0.00070923,          0.00070923
                  63,            0.027899,            0.015411,                   0,             0.99262,                   1,               0.995,             0.82715,            0.017038,           0.0037038,                   0,          0.00055692,          0.00055692,          0.00055692
                  64,             0.02864,            0.013437,                   0,             0.99272,                   1,               0.995,             0.82236,            0.017114,           0.0036914,                   0,          0.00040462,          0.00040462,          0.00040462
